ID,District,Neighborhood,NeighborhoodCityState,Latitude,Longitude,ViolentCrimes,CrimesPer1000,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
98,"EASTERN","JOHNSTON SQUARE","JOHNSTON SQUARE Baltimore MD",39.303745,-76.608055,328,172,1906,36,1831,7,3,0,11,18,20,867,1039,112,154,80,87,197,189,200,640,247,452,114,32,49,17,289,103,1054,793,337,456,261,27,18,216
99,"SOUTHEAST","JONESTOWN","JONESTOWN Baltimore MD",39.290322,-76.602278,318,233,1367,318,918,8,67,0,21,35,63,786,581,101,122,28,33,120,302,185,433,43,228,80,37,13,8,135,84,432,381,127,254,51,30,13,8
100,"NORTHERN","KENILWORTH PARK","KENILWORTH PARK Baltimore MD",39.354273,-76.598023,110,91,1206,25,1167,1,2,0,3,8,10,546,660,74,98,37,51,96,130,152,349,219,325,156,38,30,9,139,63,545,494,315,179,51,27,7,17
101,"NORTHERN","KERNEWOOD","KERNEWOOD Baltimore MD",39.345917,-76.614555,43,59,726,326,354,0,19,0,12,15,20,330,396,46,63,35,34,66,76,92,219,95,166,99,52,16,6,51,23,321,256,200,56,65,8,4,53
102,"NORTHERN","KESWICK","KESWICK Baltimore MD",39.342121,-76.631163,15,23,650,553,42,0,39,0,0,16,13,294,356,34,44,20,13,22,63,106,212,136,181,151,54,6,3,24,12,322,313,273,40,9,3,1,5
103,"SOUTHEAST","KRESSON","KRESSON Baltimore MD",39.296005,-76.558215,120,273,440,201,116,2,13,0,97,11,145,247,193,30,36,17,18,54,92,72,97,24,86,31,17,19,4,36,22,191,152,47,105,39,19,4,16
104,"NORTHERN","LAKE WALKER","LAKE WALKER Baltimore MD",39.369657,-76.605167,80,38,2095,1063,762,3,89,5,119,54,183,955,1140,174,116,40,32,288,393,282,513,257,419,242,108,48,23,129,66,1190,1059,424,635,131,96,11,24
105,"NORTHERN","LAKE-EVESHAM","LAKEEVESHAM Baltimore MD",39.366296,-76.614555,20,37,543,427,90,2,5,0,3,16,11,275,268,39,47,12,13,80,72,88,142,50,123,87,41,9,4,27,19,253,228,146,82,25,8,10,7
106,"SOUTHERN","LAKELAND","LAKELAND Baltimore MD",39.254894,-76.648491,553,122,4551,1370,2509,12,132,3,421,104,889,2289,2262,403,537,195,216,492,813,590,968,337,1069,469,217,158,85,442,257,1739,1581,736,845,158,85,22,51
107,"NORTHWEST","LANGSTON HUGHES","LANGSTON HUGHES Baltimore MD",39.343287,-76.679531,126,122,1036,9,1006,0,0,0,8,13,12,492,544,67,115,44,42,111,112,126,290,129,236,76,24,24,13,136,55,435,332,175,157,103,30,9,64
